Custid,Dayswus_mm,Freq_mm,Recency_mm,LTV_mm,value_labels,Dryred_dec,Sweetred_dec,Drywh_dec,Sweetwh_dec,Dessert_dec,Exotic_dec,labels,wine_labels,Freq,Recency,Monetary,Frequency_Rank,Recency_Rank,Monetary_Rank,RFM_Ave,wine_letters,merged_labels
2923,0.3414285714285715,0.03773584905660378,0.08196721311475409,0.09630459126539753,0,0.81,0.01,0.13,0.02,0.03,0.29,3,2,3.0,45.0,64.0,1,3,2,2.0,C,0C
6794,0.7385714285714285,0.1509433962264151,0.1384335154826958,0.14837625979843225,1,0.58,0.03,0.27,0.04,0.08,0.1,1,2,9.0,76.0,261.0,3,2,3,2.6666666666666665,C,1C
5955,0.24714285714285722,0.22641509433962265,0.007285974499089253,0.1601343784994401,0,0.45,0.04,0.36,0.06,0.1,0.02,8,0,13.0,4.0,431.0,3,5,3,3.6666666666666665,A,0A
2311,0.2042857142857143,0.018867924528301886,0.09836065573770492,0.09910414333706608,0,0.88,0.01,0.1,0.01,0.0,0.0,4,2,2.0,54.0,41.0,1,3,1,1.6666666666666667,C,0C
3552,0.3642857142857142,0.2641509433962264,0.0546448087431694,0.23236282194848826,3,0.72,0.07,0.15,0.04,0.02,0.08,10,0,15.0,30.0,544.0,3,4,3,3.3333333333333335,A,3A
2343,0.4685714285714285,0.16981132075471697,0.12750455373406194,0.13157894736842105,1,0.7,0.11,0.17,0.01,0.0,0.01,10,0,10.0,70.0,298.0,3,2,3,2.6666666666666665,A,1A
10749,0.5385714285714286,0.03773584905660378,0.09107468123861566,0.09686450167973125,1,0.17,0.04,0.61,0.05,0.13,0.27,9,0,3.0,50.0,63.0,1,3,2,2.0,A,1A
7798,0.9742857142857143,0.4150943396226415,0.16757741347905283,0.2973124300111982,2,0.66,0.01,0.27,0.03,0.04,0.01,1,2,23.0,92.0,1020.0,4,1,4,3.0,C,2C
7687,0.33571428571428574,0.018867924528301886,0.16757741347905283,0.09798432250839866,0,0.68,0.09,0.22,0.01,0.01,0.11,1,2,2.0,92.0,19.0,1,1,1,1.0,C,0C
4500,0.8585714285714287,0.4716981132075472,0.151183970856102,0.31187010078387456,2,0.4,0.02,0.42,0.06,0.1,0.09,8,0,26.0,83.0,1220.0,4,1,4,3.0,A,2A
10655,0.4671428571428572,0.1509433962264151,0.02185792349726776,0.14893617021276595,0,0.73,0.01,0.24,0.01,0.01,0.12,10,0,9.0,12.0,255.0,3,5,3,3.6666666666666665,A,0A
10694,0.20714285714285718,0.20754716981132076,0.029143897996357013,0.1590145576707727,0,0.86,0.02,0.09,0.01,0.02,0.07,4,2,12.0,16.0,393.0,3,5,3,3.6666666666666665,C,0C
9896,0.30714285714285705,0.32075471698113206,0.007285974499089253,0.24636058230683092,3,0.44,0.05,0.45,0.05,0.01,0.2,8,0,18.0,4.0,716.0,4,5,4,4.333333333333333,A,3A
3704,0.7157142857142856,0.20754716981132076,0.023679417122040074,0.1612541993281075,1,0.89,0.01,0.1,0.0,0.0,0.18,4,2,12.0,13.0,393.0,3,5,3,3.6666666666666665,C,1C
5162,0.6771428571428572,0.2830188679245283,0.056466302367941715,0.0940649496080627,1,0.67,0.0,0.23,0.07,0.02,0.16,1,2,16.0,31.0,601.0,3,4,3,3.3333333333333335,C,1C
7157,0.7528571428571428,0.03773584905660378,0.07468123861566485,0.10022396416573348,1,0.12,0.25,0.29,0.21,0.13,0.52,5,2,3.0,41.0,46.0,1,3,1,1.6666666666666667,C,1C
3675,0.7500000000000001,0.5283018867924528,0.12386156648451731,0.3784994400895857,2,0.31,0.12,0.4,0.05,0.12,0.05,0,2,29.0,68.0,1413.0,5,2,5,4.0,C,2C
8782,0.13857142857142857,0.07547169811320754,0.060109289617486336,0.0940649496080627,0,0.45,0.08,0.41,0.01,0.05,0.17,8,0,5.0,33.0,54.0,2,4,1,2.3333333333333335,A,0A
1226,0.6242857142857142,0.6981132075471698,0.02185792349726776,0.5167973124300113,2,0.26,0.11,0.37,0.16,0.1,0.04,0,2,38.0,12.0,1980.0,5,5,5,5.0,C,2C
7175,0.5942857142857142,0.018867924528301886,0.08561020036429873,0.09462486002239642,1,0.42,0.0,0.45,0.05,0.07,0.11,8,0,2.0,47.0,41.0,1,3,1,1.6666666666666667,A,1A
9955,0.008571428571428563,0.1509433962264151,0.151183970856102,0.1422172452407615,0,0.76,0.01,0.2,0.01,0.01,0.19,3,2,9.0,83.0,260.0,3,1,3,2.3333333333333335,C,0C
9573,0.011428571428571455,0.3018867924528302,0.052823315118397086,0.20660694288913772,3,0.89,0.0,0.06,0.03,0.02,0.02,4,2,17.0,29.0,657.0,3,4,4,3.6666666666666665,C,3C
5379,0.8314285714285715,0.7547169811320754,0.14571948998178508,0.471444568868981,2,0.31,0.0,0.4,0.14,0.15,0.09,0,2,41.0,80.0,2164.0,5,2,5,4.0,C,2C
7703,0.7585714285714286,0.6037735849056604,0.06375227686703097,0.4098544232922733,2,0.55,0.11,0.31,0.02,0.01,0.05,13,1,33.0,35.0,1671.0,5,4,5,4.666666666666667,B,2B
8599,0.3885714285714287,0.5660377358490566,0.10382513661202186,0.3936170212765957,3,0.44,0.22,0.24,0.08,0.03,0.13,7,0,31.0,57.0,1535.0,5,3,5,4.333333333333333,A,3A
4684,0.7685714285714286,0.20754716981132076,0.056466302367941715,0.14669652855543114,1,0.88,0.01,0.09,0.01,0.01,0.02,4,2,12.0,31.0,384.0,3,4,3,3.3333333333333335,C,1C
4727,0.8842857142857142,0.4150943396226415,0.12932604735883424,0.23516237402015677,2,0.65,0.04,0.27,0.02,0.02,0.1,1,2,23.0,71.0,1020.0,4,2,4,3.3333333333333335,C,2C
4274,0.15000000000000002,0.03773584905660378,0.06557377049180328,0.09854423292273236,0,0.12,0.25,0.34,0.23,0.06,0.23,16,1,3.0,36.0,38.0,1,4,1,2.0,B,0B
3862,0.5399999999999999,0.05660377358490566,0.10382513661202186,0.10470324748040313,1,0.51,0.01,0.35,0.07,0.06,0.06,13,1,4.0,57.0,93.0,1,3,2,2.0,B,1B
7451,0.20857142857142863,0.018867924528301886,0.06557377049180328,0.09630459126539753,0,0.7,0.0,0.26,0.02,0.02,0.1,1,2,2.0,36.0,26.0,1,4,1,2.0,C,0C
5686,0.19857142857142862,0.07547169811320754,0.03278688524590164,0.08566629339305712,0,0.78,0.01,0.08,0.06,0.07,0.21,3,2,5.0,18.0,73.0,2,5,2,3.0,C,0C
3041,0.08571428571428574,0.3962264150943396,0.1384335154826958,0.35386338185890254,3,0.45,0.01,0.43,0.04,0.08,0.18,8,0,22.0,76.0,946.0,4,2,4,3.3333333333333335,A,3A
4258,0.5757142857142857,0.07547169811320754,0.0546448087431694,0.09462486002239642,1,0.14,0.12,0.31,0.24,0.19,0.41,5,2,5.0,30.0,119.0,2,4,2,2.6666666666666665,C,1C
8527,0.10571428571428576,0.4716981132075472,0.0273224043715847,0.3880179171332587,3,0.8,0.01,0.12,0.03,0.04,0.09,10,0,26.0,15.0,1203.0,4,5,4,4.333333333333333,A,3A
4417,0.9371428571428572,0.18867924528301885,0.14571948998178508,0.0671892497200448,1,0.49,0.11,0.19,0.11,0.1,0.34,12,1,11.0,80.0,342.0,3,2,3,2.6666666666666665,B,1B
9683,0.7257142857142856,0.1320754716981132,0.08196721311475409,0.08342665173572228,1,0.82,0.02,0.15,0.0,0.01,0.19,3,2,8.0,45.0,222.0,2,3,2,2.3333333333333335,C,1C
8763,0.1428571428571429,0.5471698113207547,0.10018214936247723,0.34210526315789475,3,0.32,0.12,0.42,0.14,0.0,0.02,8,0,30.0,55.0,1469.0,5,3,5,4.333333333333333,A,3A
7780,0.25571428571428567,0.5849056603773585,0.1657559198542805,0.5862262038073909,3,0.4,0.08,0.38,0.13,0.01,0.06,8,0,32.0,91.0,1602.0,5,1,5,3.6666666666666665,A,3A
6562,0.6242857142857142,0.20754716981132076,0.058287795992714025,0.11982082866741321,1,0.7,0.0,0.22,0.02,0.06,0.17,10,0,12.0,32.0,393.0,3,4,3,3.3333333333333335,A,1A
2895,0.36857142857142866,0.18867924528301885,0.1384335154826958,0.12989921612541994,0,0.46,0.01,0.28,0.25,0.0,0.26,12,1,11.0,76.0,342.0,3,2,3,2.6666666666666665,B,0B
4036,0.5671428571428571,0.03773584905660378,0.1657559198542805,0.09574468085106383,1,0.22,0.15,0.29,0.17,0.17,0.17,0,2,3.0,91.0,29.0,1,1,1,1.0,C,1C
4720,0.28428571428571436,0.1509433962264151,0.007285974499089253,0.08790593505039195,0,0.68,0.03,0.24,0.01,0.05,0.07,1,2,9.0,4.0,258.0,3,5,3,3.6666666666666665,C,0C
1760,0.4,0.5849056603773585,0.17486338797814208,0.37402015677491607,3,0.47,0.01,0.47,0.03,0.02,0.01,8,0,32.0,96.0,1607.0,5,1,5,3.6666666666666665,A,3A
3147,0.5128571428571428,0.09433962264150944,0.15846994535519127,0.09854423292273236,1,0.46,0.07,0.37,0.06,0.04,0.11,8,0,6.0,87.0,152.0,2,1,2,1.6666666666666667,A,1A
8862,0.12571428571428578,0.018867924528301886,0.1657559198542805,0.09854423292273236,0,0.07,0.08,0.3,0.28,0.27,0.25,11,0,2.0,91.0,31.0,1,1,1,1.0,A,0A
9125,0.5671428571428571,0.16981132075471697,0.10564663023679417,0.13101903695408734,1,0.24,0.33,0.28,0.04,0.11,0.44,14,1,10.0,58.0,299.0,3,3,3,3.0,B,1B
8554,0.7485714285714286,0.8867924528301887,0.06557377049180328,1.0,2,0.39,0.07,0.4,0.06,0.08,0.08,8,0,48.0,36.0,2589.0,5,4,5,4.666666666666667,A,2A
6706,0.8228571428571428,0.18867924528301885,0.03825136612021858,0.010078387458006724,1,0.75,0.0,0.22,0.01,0.02,0.13,10,0,11.0,21.0,345.0,3,4,3,3.3333333333333335,A,1A
1737,0.11285714285714288,0.3584905660377358,0.05100182149362477,0.24076147816349383,3,0.89,0.01,0.09,0.01,0.01,0.02,4,2,20.0,28.0,829.0,4,4,4,4.0,C,3C
4808,0.2371428571428572,0.3018867924528302,0.025500910746812384,0.24356103023516237,3,0.51,0.12,0.12,0.19,0.07,0.03,7,0,17.0,14.0,652.0,3,5,3,3.6666666666666665,A,3A
6126,0.4771428571428572,0.018867924528301886,0.0036429872495446266,0.09910414333706608,0,0.45,0.01,0.51,0.0,0.02,0.2,8,0,2.0,2.0,33.0,1,5,1,2.3333333333333335,A,0A
6237,0.01571428571428568,0.4339622641509434,0.0273224043715847,0.22956326987681971,3,0.72,0.01,0.25,0.01,0.01,0.02,10,0,24.0,15.0,1075.0,4,5,4,4.333333333333333,A,3A
3918,0.34857142857142864,0.16981132075471697,0.020036429872495445,0.1360582306830907,0,0.56,0.0,0.34,0.03,0.07,0.08,13,1,10.0,11.0,302.0,3,5,3,3.6666666666666665,B,0B
1012,0.3828571428571429,0.24528301886792453,0.058287795992714025,0.18309070548712206,3,0.6,0.04,0.33,0.02,0.01,0.02,13,1,14.0,32.0,491.0,3,4,3,3.3333333333333335,B,3B
6133,0.42285714285714293,0.05660377358490566,0.14207650273224043,0.0929451287793953,0,0.58,0.01,0.27,0.08,0.06,0.17,17,1,4.0,78.0,49.0,1,2,1,1.3333333333333333,B,0B
1759,0.8857142857142858,0.6981132075471698,0.02185792349726776,0.4221724524076148,2,0.21,0.01,0.52,0.01,0.24,0.24,9,0,38.0,12.0,1983.0,5,5,5,5.0,A,2A
5172,0.8414285714285715,0.05660377358490566,0.07468123861566485,0.09574468085106383,1,0.11,0.13,0.43,0.15,0.17,0.31,9,0,4.0,41.0,89.0,1,3,2,2.0,A,1A
8460,0.9842857142857143,0.05660377358490566,0.03825136612021858,0.09574468085106383,1,0.38,0.01,0.54,0.03,0.04,0.04,8,0,4.0,21.0,75.0,1,4,2,2.3333333333333335,A,1A
5978,0.06285714285714283,0.22641509433962265,0.04735883424408015,0.1797312430011198,3,0.16,0.21,0.41,0.16,0.06,0.04,0,2,13.0,26.0,436.0,3,4,3,3.3333333333333335,C,3C
10871,0.32999999999999996,0.18867924528301885,0.11475409836065574,0.10582306830907055,0,0.36,0.05,0.5,0.09,0.0,0.09,8,0,11.0,63.0,343.0,3,2,3,2.6666666666666665,A,0A
7917,0.8371428571428571,0.6981132075471698,0.17486338797814208,0.5599104143337066,2,0.45,0.01,0.47,0.06,0.01,0.07,8,0,38.0,96.0,1982.0,5,1,5,3.6666666666666665,A,2A
3293,0.36,0.05660377358490566,0.0036429872495446266,0.09630459126539753,0,0.59,0.04,0.3,0.05,0.02,0.07,1,2,4.0,2.0,46.0,1,5,1,2.3333333333333335,C,0C
8146,0.8814285714285713,0.1509433962264151,0.12568306010928962,0.1013437849944009,1,0.07,0.22,0.32,0.21,0.18,0.47,5,2,9.0,69.0,256.0,3,2,3,2.6666666666666665,C,1C
1234,0.7771428571428572,0.07547169811320754,0.014571948998178506,0.12262038073908174,1,0.33,0.07,0.25,0.33,0.02,0.14,16,1,5.0,8.0,118.0,2,5,2,3.0,B,1B
10157,0.5957142857142858,0.3018867924528302,0.060109289617486336,0.20828667413213886,1,0.32,0.02,0.26,0.13,0.27,0.01,7,0,17.0,33.0,659.0,3,4,4,3.6666666666666665,A,1A
9462,0.962857142857143,0.05660377358490566,0.12386156648451731,0.09686450167973125,1,0.09,0.1,0.31,0.25,0.25,0.36,11,0,4.0,68.0,92.0,1,2,2,1.6666666666666667,A,1A
7001,0.21571428571428564,0.018867924528301886,0.09107468123861566,0.10022396416573348,0,0.38,0.08,0.38,0.11,0.05,0.35,12,1,2.0,50.0,41.0,1,3,1,1.6666666666666667,B,0B
6038,0.5485714285714286,0.1320754716981132,0.00546448087431694,0.12821948488241883,1,0.19,0.22,0.22,0.15,0.22,0.2,14,1,8.0,3.0,217.0,2,5,2,3.0,B,1B
3106,0.4185714285714285,0.5283018867924528,0.0965391621129326,0.34434490481522956,3,0.87,0.01,0.11,0.0,0.0,0.08,4,2,29.0,53.0,1407.0,5,3,5,4.333333333333333,C,3C
6880,0.5342857142857144,0.018867924528301886,0.03460837887067395,0.0929451287793953,1,0.48,0.09,0.36,0.03,0.04,0.43,12,1,2.0,19.0,34.0,1,5,1,2.3333333333333335,B,1B
7077,0.93,0.7924528301886792,0.15846994535519127,0.58006718924972,2,0.58,0.05,0.29,0.05,0.04,0.01,1,2,43.0,87.0,2289.0,5,1,5,3.6666666666666665,C,2C
6325,0.7157142857142856,0.33962264150943394,0.009107468123861567,0.20940649496080627,1,0.58,0.03,0.26,0.08,0.05,0.26,17,1,19.0,5.0,763.0,4,5,4,4.333333333333333,B,1B
10089,0.9242857142857143,0.3773584905660377,0.030965391621129327,0.18141097424412095,1,0.8,0.03,0.15,0.01,0.01,0.12,10,0,21.0,17.0,898.0,4,5,4,4.333333333333333,A,1A
4154,0.01571428571428568,0.05660377358490566,0.04371584699453552,0.11758118701007839,0,0.83,0.01,0.13,0.0,0.02,0.04,4,2,4.0,24.0,91.0,1,4,2,2.3333333333333335,C,0C
5678,0.01571428571428568,0.24528301886792453,0.0947176684881603,0.09462486002239642,0,0.94,0.01,0.05,0.0,0.0,0.02,4,2,14.0,52.0,486.0,3,3,3,3.0,C,0C
1506,0.15000000000000002,0.22641509433962265,0.18032786885245902,0.13157894736842105,0,0.88,0.02,0.09,0.0,0.01,0.14,4,2,13.0,99.0,432.0,3,1,3,2.3333333333333335,C,0C
9261,0.3057142857142857,0.05660377358490566,0.1621129326047359,0.10526315789473685,0,0.41,0.08,0.41,0.04,0.06,0.48,12,1,4.0,89.0,72.0,1,1,2,1.3333333333333333,B,0B
8429,0.2271428571428572,0.3962264150943396,0.1384335154826958,0.33594624860022393,3,0.51,0.05,0.38,0.03,0.03,0.05,13,1,22.0,76.0,961.0,4,2,4,3.3333333333333335,B,3B
10535,0.1271428571428571,0.20754716981132076,0.14389799635701275,0.093505039193729,0,0.44,0.02,0.44,0.05,0.05,0.23,8,0,12.0,79.0,390.0,3,2,3,2.6666666666666665,A,0A
10209,0.66,0.05660377358490566,0.08743169398907104,0.09686450167973125,1,0.14,0.14,0.32,0.24,0.16,0.5,5,2,4.0,48.0,50.0,1,3,1,1.6666666666666667,C,1C
6958,0.9614285714285714,0.03773584905660378,0.09107468123861566,0.09574468085106383,1,0.17,0.16,0.44,0.07,0.17,0.84,15,1,3.0,50.0,39.0,1,3,1,1.6666666666666667,B,1B
7571,0.2942857142857144,0.03773584905660378,0.058287795992714025,0.10022396416573348,0,0.27,0.07,0.39,0.12,0.15,0.25,9,0,3.0,32.0,44.0,1,4,1,2.0,A,0A
5286,0.47857142857142854,0.5849056603773585,0.12021857923497267,0.3544232922732363,3,0.64,0.01,0.22,0.06,0.08,0.01,1,2,32.0,66.0,1597.0,5,2,5,4.0,C,3C
5559,0.6085714285714287,0.660377358490566,0.1092896174863388,0.4529675251959686,2,0.3,0.16,0.35,0.15,0.04,0.04,0,2,36.0,60.0,1851.0,5,3,5,4.333333333333333,C,2C
5507,0.05857142857142861,0.05660377358490566,0.07468123861566485,0.09966405375139978,0,0.14,0.16,0.2,0.14,0.36,0.61,18,1,4.0,41.0,50.0,1,3,1,1.6666666666666667,B,0B
10916,0.030000000000000027,0.03773584905660378,0.18032786885245902,0.10414333706606943,0,0.85,0.01,0.12,0.01,0.01,0.07,4,2,3.0,99.0,64.0,1,1,2,1.3333333333333333,C,0C
8868,0.8042857142857144,0.6226415094339622,0.08014571948998178,0.5212765957446809,2,0.42,0.14,0.39,0.02,0.03,0.04,8,0,34.0,44.0,1725.0,5,3,5,4.333333333333333,A,2A
4338,0.7314285714285714,0.8679245283018867,0.08014571948998178,0.5414333706606943,2,0.16,0.07,0.55,0.08,0.15,0.01,6,0,47.0,44.0,2528.0,5,3,5,4.333333333333333,A,2A
1188,0.8214285714285715,0.33962264150943394,0.060109289617486336,0.1858902575587906,1,0.83,0.0,0.14,0.02,0.01,0.18,3,2,19.0,33.0,768.0,4,4,4,4.0,C,1C
8655,0.6628571428571429,0.03773584905660378,0.06375227686703097,0.09182530795072788,1,0.57,0.01,0.35,0.01,0.05,0.17,13,1,3.0,35.0,54.0,1,4,1,2.0,B,1B
5929,0.4900000000000001,0.03773584905660378,0.06375227686703097,0.09630459126539753,1,0.25,0.14,0.23,0.13,0.24,0.42,11,0,3.0,35.0,66.0,1,4,2,2.3333333333333335,A,1A
10215,0.3671428571428571,0.018867924528301886,0.06375227686703097,0.09742441209406495,0,0.19,0.24,0.4,0.01,0.15,0.11,0,2,2.0,35.0,21.0,1,4,1,2.0,C,0C
6012,0.63,0.07547169811320754,0.10018214936247723,0.10526315789473685,1,0.3,0.1,0.39,0.1,0.1,0.15,0,2,5.0,55.0,86.0,2,3,2,2.3333333333333335,C,1C
9363,0.0971428571428572,0.4528301886792453,0.00546448087431694,0.4378499440089586,3,0.28,0.21,0.42,0.03,0.06,0.1,0,2,25.0,3.0,1138.0,4,5,4,4.333333333333333,C,3C
1364,0.03285714285714292,0.5471698113207547,0.09289617486338798,0.4036954087346024,3,0.63,0.02,0.33,0.01,0.01,0.03,1,2,30.0,51.0,1472.0,5,3,5,4.333333333333333,C,3C
7103,0.28428571428571436,0.5094339622641509,0.0036429872495446266,0.47536394176931696,3,0.5,0.08,0.19,0.21,0.02,0.07,7,0,28.0,2.0,1336.0,5,5,5,5.0,A,3A
7004,0.5199999999999999,0.03773584905660378,0.052823315118397086,0.1007838745800672,1,0.3,0.25,0.09,0.2,0.15,0.24,14,1,3.0,29.0,52.0,1,4,1,2.0,B,1B
6732,0.6171428571428571,0.6226415094339622,0.030965391621129327,0.5655095184770437,2,0.72,0.01,0.24,0.01,0.02,0.01,10,0,34.0,17.0,1722.0,5,5,5,5.0,A,2A
3569,0.9857142857142857,0.660377358490566,0.1111111111111111,0.48824188129899215,2,0.65,0.04,0.26,0.03,0.02,0.16,1,2,36.0,61.0,1855.0,5,2,5,4.0,C,2C
2657,0.6685714285714285,0.16981132075471697,0.1785063752276867,0.07278835386338187,1,0.69,0.01,0.29,0.01,0.01,0.13,1,2,10.0,98.0,305.0,3,1,3,2.3333333333333335,C,1C
7455,0.722857142857143,0.03773584905660378,0.0,0.09686450167973125,1,0.48,0.08,0.24,0.16,0.04,0.41,12,1,3.0,0.0,54.0,1,5,1,2.3333333333333335,B,1B
2624,0.4342857142857143,0.018867924528301886,0.151183970856102,0.09854423292273236,0,0.09,0.17,0.33,0.3,0.11,0.38,5,2,2.0,83.0,33.0,1,1,1,1.0,C,0C
6186,0.3042857142857144,0.3773584905660377,0.1657559198542805,0.3191489361702128,3,0.73,0.02,0.19,0.03,0.03,0.02,10,0,21.0,91.0,895.0,4,1,4,3.0,A,3A
9407,0.6642857142857143,0.24528301886792453,0.10382513661202186,0.05655095184770437,1,0.76,0.02,0.2,0.01,0.01,0.37,3,2,14.0,57.0,496.0,3,3,3,3.0,C,1C
1467,0.8142857142857144,0.5283018867924528,0.018214936247723135,0.44176931690929455,2,0.57,0.11,0.21,0.04,0.07,0.21,17,1,29.0,10.0,1399.0,5,5,5,5.0,B,2B
8141,0.18571428571428572,0.1509433962264151,0.13479052823315119,0.13717805151175813,0,0.78,0.01,0.19,0.01,0.01,0.14,10,0,9.0,74.0,262.0,3,2,3,2.6666666666666665,A,0A
1521,0.1885714285714286,0.05660377358490566,0.0036429872495446266,0.10246360582306831,0,0.63,0.02,0.31,0.01,0.03,0.05,1,2,4.0,2.0,90.0,1,5,2,2.6666666666666665,C,0C
7889,0.6185714285714287,0.018867924528301886,0.0273224043715847,0.09798432250839866,1,0.84,0.01,0.12,0.01,0.02,0.27,3,2,2.0,15.0,30.0,1,5,1,2.3333333333333335,C,1C
5538,0.0971428571428572,0.24528301886792453,0.10200364298724954,0.17581187010078386,0,0.9,0.01,0.08,0.0,0.01,0.04,4,2,14.0,56.0,483.0,3,3,3,3.0,C,0C
8774,0.38142857142857134,0.5471698113207547,0.1092896174863388,0.47312430011198203,3,0.39,0.11,0.31,0.04,0.15,0.08,7,0,30.0,60.0,1475.0,5,3,5,4.333333333333333,A,3A
3297,0.3471428571428571,0.4150943396226415,0.08196721311475409,0.24300111982082867,3,0.53,0.1,0.25,0.02,0.1,0.01,13,1,23.0,45.0,1023.0,4,3,4,3.6666666666666665,B,3B
2086,0.9557142857142856,0.3773584905660377,0.0,0.2374020156774916,1,0.54,0.06,0.23,0.07,0.1,0.22,17,1,21.0,0.0,894.0,4,5,4,4.333333333333333,B,1B
5887,0.8414285714285715,0.07547169811320754,0.03278688524590164,0.10526315789473685,1,0.03,0.22,0.44,0.22,0.09,0.28,9,0,5.0,18.0,85.0,2,5,2,3.0,A,1A
8665,0.7328571428571428,0.07547169811320754,0.13114754098360656,0.08902575587905935,1,0.64,0.06,0.19,0.1,0.0,0.4,17,1,5.0,72.0,68.0,2,2,2,2.0,B,1B
7648,0.36857142857142866,0.18867924528301885,0.0273224043715847,0.14893617021276595,0,0.87,0.0,0.12,0.01,0.0,0.11,4,2,11.0,15.0,342.0,3,5,3,3.6666666666666665,C,0C
4047,0.8271428571428571,0.18867924528301885,0.023679417122040074,0.07782754759238522,1,0.76,0.01,0.22,0.01,0.0,0.02,10,0,11.0,13.0,349.0,3,5,3,3.6666666666666665,A,1A
9793,0.2728571428571428,0.20754716981132076,0.15664845173041894,0.177491601343785,0,0.61,0.07,0.25,0.07,0.0,0.09,1,2,12.0,86.0,386.0,3,1,3,2.3333333333333335,C,0C
8834,0.39,0.33962264150943394,0.17486338797814208,0.20044792833146696,3,0.53,0.06,0.28,0.06,0.07,0.04,13,1,19.0,96.0,770.0,4,1,4,3.0,B,3B
5943,0.6985714285714285,0.22641509433962265,0.023679417122040074,0.13661814109742443,1,0.33,0.27,0.26,0.02,0.12,0.03,7,0,13.0,13.0,438.0,3,5,3,3.6666666666666665,A,1A
4624,0.7557142857142857,0.09433962264150944,0.07650273224043716,0.11310190369540873,1,0.79,0.02,0.14,0.01,0.03,0.23,3,2,6.0,42.0,152.0,2,3,2,2.3333333333333335,C,1C
5180,0.4057142857142858,0.11320754716981132,0.04918032786885246,0.11478163493840986,0,0.91,0.0,0.07,0.01,0.01,0.08,4,2,7.0,27.0,187.0,2,4,2,2.6666666666666665,C,0C
